step,step_unit,loss,val_loss,accuracy,val_accuracy,val_defer_f1
1,epoch,0.5405576191354526,0.44035044964402914,0.7687923234042936,0.8382053946595581,0.6855135496821679
2,epoch,0.445897385282808,0.4367840364575386,0.8173633208798089,0.8486121778942454,0.6858211492689562
3,epoch,0.428380454341397,0.4006417989730835,0.8240900256952467,0.8477838521664482,0.6813752528038242
4,epoch,0.41805629191440263,0.3959737094119191,0.827531071881383,0.8527387460654527,0.6863195057369815
5,epoch,0.4123393172259935,0.39956618566066027,0.8288507401176892,0.8545309417310502,0.6687465590016517
6,epoch,0.40867820317047654,0.3869558675214648,0.8294745423386053,0.8503893130920647,0.6766224188790562
7,epoch,0.40453272238048404,0.3816709816455841,0.8310081499647562,0.8545008207954939,0.684658576344865
8,epoch,0.4026594932422888,0.3771834783256054,0.8312333493224877,0.8550279371677284,0.6885893980233603
9,epoch,0.4007096500115624,0.37857314851135015,0.8320147910938158,0.8568201328333258,0.6921173559561683
10,epoch,0.3983688182705875,0.3821954522281885,0.8322895343102481,0.8585370261600326,0.6776242062009712
11,epoch,0.3964540221805656,0.3784244451671839,0.8329200925118961,0.8582358168044699,0.6935312831389184
12,epoch,0.39541752096346894,0.375772038474679,0.8333952631567095,0.8573623096733385,0.6878518249500635
13,epoch,0.3950960918545202,0.37611511070281267,0.8339177256666463,0.8559466257021943,0.6738028169014085
14,epoch,0.3927236533841712,0.3694772217422724,0.8344109122600782,0.857196644527779,0.6924731182795699
15,epoch,0.39238202623925356,0.37152639869600534,0.8349333747700152,0.8521664482898839,0.6799561082662766
16,epoch,0.3908074629619132,0.36989237647503614,0.8347734832260258,0.8571213421888884,0.6856932424967778
17,epoch,0.39062721357074887,0.3694531498476863,0.8349063508470874,0.8582659377400262,0.6844900201428309
18,epoch,0.3888650109674212,0.36756626702845097,0.8354896171836118,0.8552237232488441,0.6829966028964777
19,epoch,0.38762489117389165,0.37060090992599726,0.835899480014683,0.8568201328333258,0.6846017699115043
20,epoch,0.38756596000954574,0.36949091870337725,0.8358003922972812,0.8549676952966159,0.6861393323657475
21,epoch,0.38615323661716744,0.3659257050603628,0.8360368516228992,0.8546966068766095,0.6901689987279666
22,epoch,0.3847076895455606,0.36836983263492584,0.8369038691501652,0.8575882166900104,0.6869021339220015
23,epoch,0.38394679161658973,0.36832653172314167,0.8367755055162582,0.8575129143511198,0.6751103435041259
24,epoch,0.38484471333599507,0.3646433688700199,0.8365818340686092,0.8579647283844636,0.6889253785805509
25,epoch,0.38378459189135955,0.3643491044640541,0.8371042965785461,0.8571364026566665,0.6761265580057526
26,epoch,0.38302165217795225,0.36538375820964575,0.8370479967391133,0.8581755749333574,0.6740373617994663
27,epoch,0.3816368762062106,0.3620890025049448,0.8374848834931122,0.8577388213677917,0.6900017950098726
28,epoch,0.380449938331629,0.3658263124525547,0.8374240796665248,0.8579797888522418,0.6806069578090304
29,epoch,0.3806965858655205,0.3630513660609722,0.838342893046069,0.8578593051100167,0.6896920064091152
30,epoch,0.3803280416274175,0.366285540163517,0.8378069185746683,0.8578743655777948,0.6900606283299652
31,epoch,0.37914857541629843,0.363091304898262,0.8382618212772858,0.8585822075633669,0.6931614751163624
32,epoch,0.37852208361875544,0.36259547993540764,0.8385275565194088,0.8575129143511198,0.6859920777817788
33,epoch,0.3779138541377788,0.3629874549806118,0.8386559201533157,0.857543035286676,0.6880900508351488
34,epoch,0.3771966924833939,0.3625728124752641,0.8386469121790064,0.857768942303348,0.6837863167760074
35,epoch,0.3767463460759825,0.3614450702443719,0.838809055716573,0.8583111191433606,0.6914348462664714
36,epoch,0.3760084164975512,0.3609906695783138,0.839245942470572,0.857889426045573,0.6850009046499005
37,epoch,0.375931606933019,0.3614729829132557,0.8392752183870772,0.8584617238211418,0.6881443298969072
38,epoch,0.3754396811453016,0.36147171445190907,0.8393833140787883,0.857904486513351,0.6901331387926317
39,epoch,0.37503841259073484,0.3607011726126075,0.8397391290640039,0.85847678428892,0.6913491060140871
40,epoch,0.374289656960808,0.3614739803597331,0.8401309759464566,0.8591394448711577,0.6866333887964504
41,epoch,0.37433559821682727,0.3604803588241339,0.8394981657512313,0.8587328122411482,0.6909552292912814
42,epoch,0.37395867549175776,0.36064596474170685,0.8400363922162094,0.8585520866278107,0.689290275497172
43,epoch,0.3737904844585985,0.3613119190558791,0.8401129599978381,0.8581605144655793,0.6920842411038489
44,epoch,0.37296544802761494,0.36059329379349947,0.8400206282611682,0.8590189611289326,0.689869939549368
45,epoch,0.37270477075764186,0.36064823158085346,0.8399868483575085,0.8582960586755825,0.6881561981948793
46,epoch,0.3731512509318939,0.36068524327129126,0.8401242199657246,0.8586876308378139,0.6904892798240793
47,epoch,0.37251384562800544,0.3607847969979048,0.8402841115097139,0.8585671470955888,0.6902104300091492
48,epoch,0.3727738766170485,0.36032142769545317,0.839768404980509,0.8586424494344794,0.6894409937888198
49,epoch,0.37270590623913896,0.3603979293256998,0.8394441179053758,0.8587328122411482,0.6900584795321637
50,epoch,0.3722735498930169,0.3604077287018299,0.840191779773044,0.8587779936444826,0.6900584795321637
