step,step_unit,loss,accuracy,val_loss,val_accuracy
1,boosting_round,0.6458782480914693,0.8134315626214734,0.6432005211272172,0.8249557269227938
2,boosting_round,0.6119620345614442,0.8038948397498014,0.6080233780704143,0.8048910384363919
3,boosting_round,0.5775840640018333,0.8160576763318922,0.5723973665710353,0.7893034513515738
4,boosting_round,0.5490832251098704,0.8208044945224403,0.5425419757199006,0.8066186626716259
5,boosting_round,0.5247379224632899,0.8165227122535682,0.5172902777348524,0.8137673033041355
6,boosting_round,0.5050938950451754,0.8283312715678781,0.49804413654026203,0.8221586210181292
7,boosting_round,0.48667395382735656,0.8348101004135211,0.47863976006900444,0.8273111845267219
8,boosting_round,0.4721840377963593,0.8326568594566033,0.46452926894586655,0.8209635726749598
9,boosting_round,0.45586925095858044,0.8333377789581414,0.44808337314569535,0.8205349140301273
10,boosting_round,0.4456774384171602,0.8287730234313473,0.4377784896166186,0.8090823674080874
11,boosting_round,0.43590523281539123,0.834035301327592,0.428627402757887,0.8184998679384983
12,boosting_round,0.4237727359758915,0.8291774054551326,0.41640202017603145,0.8060081488441371
13,boosting_round,0.41363631483000507,0.8307911288457883,0.4061087135542259,0.8076924742263577
14,boosting_round,0.404798277505031,0.8317149607154077,0.39714517949869493,0.8082250501184224
15,boosting_round,0.3975466241148329,0.8330364315391097,0.39036652154930046,0.8089654605049512
16,boosting_round,0.3911546635657265,0.8343666516868005,0.38462484464372937,0.8092555628201409
17,boosting_round,0.3856486697230955,0.8359560938916198,0.37878297649869946,0.813914519404381
18,boosting_round,0.37902854123207536,0.8382179814227634,0.3725602498903458,0.8148497746294701
19,boosting_round,0.3745331162789857,0.8385951994575056,0.368544294204449,0.8158672976752845
20,boosting_round,0.36929320665087645,0.8412077464579578,0.36344904068816763,0.8217429520292008
21,boosting_round,0.3644756295192026,0.8406692307351513,0.3587432604842034,0.819084402454179
22,boosting_round,0.3611561643571514,0.8429564042533386,0.35553956268113446,0.822245218724156
23,boosting_round,0.3563193676212992,0.8431118307517451,0.3504213292451224,0.8237953176620352
24,boosting_round,0.35265909586192884,0.8438027936991467,0.34701177506904907,0.8247045935753162
25,boosting_round,0.3496230671295208,0.8456956553162681,0.34378500081079616,0.8281598420457842
26,boosting_round,0.3466258987488729,0.8455782507855605,0.3411744860450908,0.8272202569353938
27,boosting_round,0.34373243000338083,0.8452868669613619,0.33813440782944193,0.8272332465912978
28,boosting_round,0.3419590879122084,0.8452549659460631,0.3363710187996556,0.827441081085762
29,boosting_round,0.3392284335084138,0.845982476109233,0.33359705864662825,0.8285192225257954
30,boosting_round,0.33732740295752134,0.846480713456935,0.33184486742640107,0.8289652007118331
31,boosting_round,0.3356911082025241,0.847172282803889,0.3303860220973163,0.8309656077210514
32,boosting_round,0.3330978445597669,0.8480950532003829,0.32787111976937844,0.8312383904950358
33,boosting_round,0.3314661692452771,0.8485351079625938,0.3264435206066815,0.8313985962511853
34,boosting_round,0.32963818738608736,0.8491392098902635,0.32461816284858463,0.8323555009027811
35,boosting_round,0.3278564970508477,0.8493186326976032,0.3227461010752768,0.8339229193818656
36,boosting_round,0.32660795439971635,0.8495882991838974,0.3214972828851052,0.8342909596324793
37,boosting_round,0.3253399212895155,0.8501517443167836,0.32016656912665203,0.8351222976103363
38,boosting_round,0.3236414928143586,0.8502437051843921,0.31832143440519384,0.8355163171727581
39,boosting_round,0.3220259231661507,0.8501325163499148,0.31670022613763976,0.8355769355669769
40,boosting_round,0.3207052097947,0.8502893100807725,0.31526228807544776,0.8361484804267535
41,boosting_round,0.3195727726904453,0.850785866945413,0.3143256751822061,0.8365598195303806
42,boosting_round,0.31859580445795666,0.8511841338268822,0.3134009902925582,0.8371270345048559
