step,step_unit,loss,accuracy,val_loss,val_accuracy
1,boosting_round,0.6458813299970907,0.8007697295354018,0.6434183699193491,0.8138712205513676
2,boosting_round,0.6048210964496203,0.815851035828695,0.6006816950687172,0.8289781903677371
3,boosting_round,0.5716893435030971,0.8059414902836893,0.566230695749866,0.8189718254363442
4,boosting_round,0.5471792684137683,0.8099018418298891,0.541199487073237,0.8224660428745243
5,boosting_round,0.5232310506121586,0.8070392696878069,0.515787313617416,0.8198767714643239
6,boosting_round,0.506260674318199,0.8035745238141093,0.4980071251875173,0.8157806999692578
7,boosting_round,0.4879545170639192,0.8091892481816022,0.47863233743734673,0.8222149095270466
8,boosting_round,0.4744571861901831,0.8038569933683852,0.46486446174148666,0.8166769862266349
9,boosting_round,0.46004782914020026,0.8029203500054568,0.4495626150992539,0.816780903473867
10,boosting_round,0.4493803230664116,0.804146524661518,0.4384757822172013,0.8183829610353621
11,boosting_round,0.4401366043675621,0.8048327972831565,0.42871136964173967,0.818776980597784
12,boosting_round,0.43156744253423496,0.801561286263634,0.42028680858371303,0.8157027620338337
13,boosting_round,0.4240318784963216,0.8017641507617048,0.41282281777505914,0.8164215229938558
14,boosting_round,0.41551182396280734,0.8080407526529669,0.40408188501293985,0.8224140842509082
15,boosting_round,0.40956900736581314,0.8104526574607271,0.3976236697602469,0.8246699544929055
16,boosting_round,0.4039603679071523,0.8085248027527943,0.3919924065253714,0.8229466601429728
17,boosting_round,0.3990771412159512,0.8104828303449338,0.38682180037168123,0.8246916039194122
18,boosting_round,0.3910021122916435,0.8111132510319768,0.37860700768408717,0.8250206752023139
19,boosting_round,0.3873425655986565,0.8115619924375197,0.37497904988867936,0.8248994384138764
20,boosting_round,0.38350266130036315,0.8096983353555586,0.37090246317926306,0.8228427428957407
21,boosting_round,0.38020271994994065,0.8078642091815444,0.36770817769740843,0.8208293462306183
22,boosting_round,0.37426041565437856,0.8098267306075021,0.36167782053907827,0.8225006819569349
23,boosting_round,0.37122389249879706,0.8133961186115337,0.3584545509035142,0.825916961459691
24,boosting_round,0.3691029927634888,0.8114618441410036,0.3563458071844455,0.8238689257121579
25,boosting_round,0.36669709324618477,0.8131784886594894,0.3538390820985559,0.8253021177469009
26,boosting_round,0.3631730755883537,0.8145510339027663,0.3501202269798823,0.826518815516577
27,boosting_round,0.3612505841606071,0.8143539471910328,0.3480869816537068,0.8260944867570458
28,boosting_round,0.35684075388374825,0.8165957282899678,0.3435797647445348,0.8288353041527929
29,boosting_round,0.355299509675024,0.8164339502725189,0.34187335175103023,0.8286880880525475
30,boosting_round,0.35153718373717163,0.817667186667437,0.3381195074405977,0.8303421042376588
31,boosting_round,0.3496161374291883,0.8179451623878948,0.33598736564281584,0.8305023099938083
32,boosting_round,0.34811126812810006,0.819328621227587,0.33435669965815545,0.8316800387957723
33,boosting_round,0.346147350547545,0.8199551900570716,0.3324318479867701,0.8324420986088079
34,boosting_round,0.3432834104741012,0.8206613639427613,0.3294554131622729,0.8326975618415868
35,boosting_round,0.3409451329856935,0.8212429944340658,0.3269507298964661,0.833442302113417
36,boosting_round,0.33958386798568807,0.8214914392465766,0.325642494301105,0.8335375595900465
37,boosting_round,0.3383159522175124,0.8215216121307833,0.3240991773802869,0.8334249825722116
38,boosting_round,0.3361581128202024,0.8227985029113624,0.32208431461258435,0.8349577619688855
39,boosting_round,0.3335348558002873,0.82460181422491,0.31946471575406526,0.836845591960269
40,boosting_round,0.33186863096259805,0.8256591491246654,0.31794217952354187,0.8374734253289631
41,boosting_round,0.33020165496752657,0.8272807811567129,0.31627617834287164,0.8390408438080476
42,boosting_round,0.3290234649905076,0.827551053162054,0.3151700281104585,0.8394651725675787
43,boosting_round,0.3273410273527896,0.8282353998549133,0.3135349136362869,0.839508471420592
44,boosting_round,0.32628218489448013,0.82828868388447,0.31248029547359085,0.8396383679796322
45,boosting_round,0.3244726430216337,0.8283580173205195,0.31053863309343765,0.8395777495854135
46,boosting_round,0.3225920932959206,0.8289210305002921,0.3086229789662219,0.840248881807121
