step,step_unit,loss,macro_f1,val_loss,val_macro_f1
200,lbfgs_iter,0.43898072838783264,0.7956515852040671,0.4029654264450073,0.8074485325526922
400,lbfgs_iter,0.4354582726955414,0.7982103591663696,0.399308443069458,0.8115621807769452
600,lbfgs_iter,0.4345318377017975,0.7994628371372425,0.39859116077423096,0.8116568674525502
800,lbfgs_iter,0.4335862398147583,0.8001510660888368,0.39816343784332275,0.8137138726131136
1000,lbfgs_iter,0.4335862398147583,0.8001510660888368,0.39816343784332275,0.8137138726131136
1200,lbfgs_iter,0.4335862398147583,0.8001510660888368,0.39816343784332275,0.8137138726131136
1400,lbfgs_iter,0.4335862398147583,0.8001510660888368,0.39816343784332275,0.8137138726131136
1600,lbfgs_iter,0.4335862398147583,0.8001510660888368,0.39816343784332275,0.8137138726131136
1800,lbfgs_iter,0.4335862398147583,0.8001510660888368,0.39816343784332275,0.8137138726131136
2000,lbfgs_iter,0.4335862398147583,0.8001510660888368,0.39816343784332275,0.8137138726131136
