epoch,learning_rate,loss,raw_assignment_accuracy,val_loss,val_raw_assignment_accuracy
0,0.0010000000474974513,0.4381150007247925,0.7021265625953674,0.5541026592254639,0.8046355843544006
1,0.0010000000474974513,0.3677911162376404,0.7593879699707031,0.5328148603439331,0.8096657991409302
2,0.0010000000474974513,0.3536934554576874,0.7709047198295593,0.5242888331413269,0.809168815612793
3,0.0010000000474974513,0.34581226110458374,0.7763747572898865,0.5110024213790894,0.8158255219459534
4,0.0010000000474974513,0.34066352248191833,0.7797955870628357,0.5065799951553345,0.8171659111976624
5,0.0010000000474974513,0.33733996748924255,0.78211510181427,0.5012639760971069,0.8166840076446533
6,0.0010000000474974513,0.335248738527298,0.78262859582901,0.5034677386283875,0.8133255243301392
7,0.0010000000474974513,0.33377403020858765,0.7839797735214233,0.4954394996166229,0.8208858370780945
8,0.0010000000474974513,0.3319436013698578,0.7848467826843262,0.49960964918136597,0.8168195486068726
9,0.0010000000474974513,0.3306003212928772,0.7855921983718872,0.5025871992111206,0.8115333318710327
10,0.0010000000474974513,0.33018040657043457,0.7856799960136414,0.49871551990509033,0.8163375854492188
11,0.0010000000474974513,0.33102113008499146,0.7852859497070312,0.493594765663147,0.821473240852356
12,0.0010000000474974513,0.3307723104953766,0.7854188084602356,0.49664339423179626,0.817090630531311
13,0.0010000000474974513,0.33056557178497314,0.7852026224136353,0.48547837138175964,0.817994236946106
14,0.0010000000474974513,0.33004313707351685,0.7850494384765625,0.4908938407897949,0.814289391040802
15,0.0010000000474974513,0.3300866484642029,0.7858714461326599,0.4939320981502533,0.8115031719207764
16,0.0010000000474974513,0.3301568627357483,0.785797119140625,0.48594704270362854,0.8194400668144226
17,0.0010000000474974513,0.3308955132961273,0.7855967283248901,0.48998790979385376,0.8178436160087585
18,0.0005000000237487257,0.3263924717903137,0.7888598442077637,0.48391756415367126,0.8221660256385803
19,0.0005000000237487257,0.3264943063259125,0.7887067198753357,0.4809156656265259,0.8245003819465637
20,0.0005000000237487257,0.3265371024608612,0.7887111902236938,0.48461857438087463,0.8217593431472778
21,0.0005000000237487257,0.3259217441082001,0.7892539501190186,0.4854207932949066,0.8227382898330688
22,0.0005000000237487257,0.32564017176628113,0.7897043228149414,0.48628872632980347,0.8205243945121765
23,0.0005000000237487257,0.32541486620903015,0.7901344895362854,0.4838530123233795,0.8204039335250854
24,0.0002500000118743628,0.3245960772037506,0.7897944450378418,0.4785623550415039,0.8263829350471497
25,0.0002500000118743628,0.32395049929618835,0.7908033132553101,0.4819413721561432,0.8246208429336548
26,0.0002500000118743628,0.32449615001678467,0.7905668616294861,0.4809113144874573,0.8260816931724548
27,0.0002500000118743628,0.3244783282279968,0.7910825610160828,0.4823845326900482,0.8241389393806458
28,0.0002500000118743628,0.3240518867969513,0.7906163930892944,0.48066985607147217,0.8253889083862305
29,0.0001250000059371814,0.3235292136669159,0.791692852973938,0.4791397154331207,0.8268498182296753
30,0.0001250000059371814,0.3228217363357544,0.792012631893158,0.47802817821502686,0.8275275230407715
31,0.0001250000059371814,0.322624534368515,0.7922828793525696,0.47793272137641907,0.8276479840278625
32,0.0001250000059371814,0.32218945026397705,0.7926296591758728,0.47952839732170105,0.826096773147583
33,0.0001250000059371814,0.32272008061408997,0.792188286781311,0.47790566086769104,0.8270003795623779
34,0.0001250000059371814,0.322458952665329,0.7922198176383972,0.4786086082458496,0.8270154595375061
35,0.0001250000059371814,0.32291674613952637,0.7928301095962524,0.4787710905075073,0.8274070620536804
36,0.0001250000059371814,0.3230632543563843,0.7918369770050049,0.4795953929424286,0.8262624144554138
37,0.0001250000059371814,0.32272499799728394,0.792188286781311,0.47918766736984253,0.8258407711982727
38,6.25000029685907e-05,0.3230358958244324,0.7918257117271423,0.47919395565986633,0.8254491686820984
39,6.25000029685907e-05,0.32229697704315186,0.792604923248291,0.4757460057735443,0.8264883756637573
40,6.25000029685907e-05,0.32242855429649353,0.7927355170249939,0.47565150260925293,0.8265636563301086
41,6.25000029685907e-05,0.3226665258407593,0.7917288541793823,0.4757242798805237,0.8266239166259766
42,6.25000029685907e-05,0.3229197859764099,0.7921724915504456,0.4767398536205292,0.8263076543807983
43,6.25000029685907e-05,0.32264721393585205,0.7922062873840332,0.4779306948184967,0.8263678550720215
44,3.125000148429535e-05,0.3222760856151581,0.7924067378044128,0.4767611622810364,0.8264130353927612
45,3.125000148429535e-05,0.3224576711654663,0.7925531268119812,0.4761035144329071,0.8266540169715881
46,3.125000148429535e-05,0.32189950346946716,0.7921274900436401,0.47575342655181885,0.8263678550720215
47,3.125000148429535e-05,0.3224182724952698,0.7935799956321716,0.47626441717147827,0.8267292976379395
48,1.5625000742147677e-05,0.3217422664165497,0.7929517030715942,0.4765356779098511,0.8265636563301086
49,1.5625000742147677e-05,0.32206034660339355,0.7927963137626648,0.4769558906555176,0.8267895579338074
50,1.5625000742147677e-05,0.32222452759742737,0.7929179072380066,0.4760947823524475,0.8268799185752869
